INVOICENO,"STOCK CODE",Description,Quantity,InvoiceDate,UNITPRICE,CustomerID,Country,Name,Age
536365,85123,"WHITE HANGING HEART T-LIGHT HOLDER",6,01-12-2010,2.55,17850,"United Kingdom","Alice Johnson",35
536366,71053,"WHITE METAL LANTERN",6,1-12-2010,3.39,13047,"United Kingdom","Bob Williams",35
536367,84406,"CREAM CUPID HEARTS COAT HANGER",8,"12-01-2010 08:26",2.75,12583,"United Kingdom",NULL,NULL
536368,84029,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12-01-2010 08:26",3.39,13748,"United Kingdom",NULL,NULL
536369,84029,"RED WOOLLY HOTTIE WHITE HEART.",6,"12-01-2010 08:26",3.39,15100,"United Kingdom",NULL,NULL
536370,22752,"SET 7 BABUSHKA NESTING BOXES",2,"12-01-2010 08:26",7.65,15291,"United Kingdom",NULL,NULL
536371,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",6,"12-01-2010 08:26",4.25,14688,"United Kingdom",NULL,NULL
536372,22633,"HAND WARMER UNION JACK",6,"12-01-2010 08:28",1.85,17809,"United Kingdom",NULL,NULL
536373,22632,"HAND WARMER RED POLKA DOT",6,"12-01-2010 08:28",1.85,15311,"United Kingdom",NULL,NULL
536374,84879,"ASSORTED COLOUR BIRD ORNAMENT",32,"12-01-2010 08:34",1.69,16098,"United Kingdom",NULL,NULL
536375,22745,"POPPY'S PLAYHOUSE BEDROOM ",6,"12-01-2010 08:34",2.1,18074,"United Kingdom",NULL,NULL
536376,22748,"POPPY'S PLAYHOUSE KITCHEN",6,"12-01-2010 08:34",2.1,17420,"United Kingdom",NULL,NULL
536377,22749,"FELTCRAFT PRINCESS CHARLOTTE DOLL",8,"12-01-2010 08:34",3.75,16029,"United Kingdom",NULL,NULL
536378,22310,"IVORY KNITTED MUG COSY ",6,"12-01-2010 08:34",1.65,16250,"United Kingdom",NULL,NULL
536380,84969,"BOX OF 6 ASSORTED COLOUR TEASPOONS",6,"12-01-2010 08:34",4.25,12431,"United Kingdom",NULL,NULL
536381,22623,"BOX OF VINTAGE JIGSAW BLOCKS ",3,"12-01-2010 08:34",4.95,17511,"United Kingdom",NULL,NULL
536382,22622,"BOX OF VINTAGE ALPHABET BLOCKS",2,"12-01-2010 08:34",9.95,17548,"United Kingdom",NULL,NULL
536383,21754,"HOME BUILDING BLOCK WORD",3,"12-01-2010 08:34",5.95,13705,"United Kingdom",NULL,NULL
536384,21755,"LOVE BUILDING BLOCK WORD",3,"12-01-2010 08:34",5.95,13747,"United Kingdom",NULL,NULL
536385,21777,"RECIPE BOX WITH METAL HEART",4,"12-01-2010 08:34",7.95,13408,"United Kingdom",NULL,NULL
536386,48187,"DOORMAT NEW ENGLAND",4,"12-01-2010 08:34",7.95,13767,"United Kingdom",NULL,NULL
536387,22960,"JAM MAKING SET WITH JARS",6,"12-01-2010 08:34",4.25,17924,"United Kingdom",NULL,NULL
536388,22913,"RED COAT RACK PARIS FASHION",3,"12-01-2010 08:34",4.95,13448,"United Kingdom",NULL,NULL
536389,22912,"YELLOW COAT RACK PARIS FASHION",3,"12-01-2010 08:34",4.95,15862,"United Kingdom",NULL,NULL
536390,22914,"BLUE COAT RACK PARIS FASHION",3,"12-01-2010 08:34",4.95,15513,"United Kingdom",NULL,NULL
536391,21756,"BATH BUILDING BLOCK WORD",3,"12-01-2010 08:35",5.95,12791,"United Kingdom",NULL,NULL
536414,22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",80,"12-01-2010 09:00",2.55,17181,"United Kingdom",NULL,NULL
536415,22632,"HAND WARMER RED POLKA DOT",6,"12-01-2010 09:01",1.85,17951,"United Kingdom",NULL,NULL
536416,22633,"HAND WARMER UNION JACK",6,"12-01-2010 09:01",1.85,14729,"United Kingdom",NULL,NULL
536420,85123,"WHITE HANGING HEART T-LIGHT HOLDER",6,"12-01-2010 09:02",2.55,12748,"United Kingdom",NULL,NULL
536423,71053,"WHITE METAL LANTERN",6,"12-01-2010 09:02",3.39,15012,"United Kingdom",NULL,NULL
